tags: ἕρμαιον ἕρμαιον-2 vocabulaire

ὁ θεός, οῦ|le dieu|<li class="propre"><span style="font-weight: bold">Dieu, la divinité</span>, d'ord. en ce sens sans art.</li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*dʰ(e)h₁s-</span>, <span style="font-weight: bold">divin, sacré</span>&nbsp;; cf. lat. <span class="lat">dusius</span>.</li>

ὁ λόγος, ου|la parole, la raison|<li class="propre"><span style="font-weight: bold">la parole</span>, en gén.</li><li><span style="font-weight: bold">faculté de raisonner, raison, intelligence</span></li><li class="étym">Étym. déverbal de λέγω, <span class="fr">cueillir, compter, dire</span></li>

πολλοί, αί, ά|nombreux|<li class="propre"><span style="font-weight: bold">nombreux</span></li><li>p.&thinsp;ext. <span style="font-weight: bold">grand</span>, c.&thinsp;à&thinsp;d. haut, élevé / vaste, spacieux / long / de grande valeur</li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*p(e)lh₁-u-</span>, <span style="font-weight: bold">beaucoup</span>&nbsp;; cf. lat. <span class="lat">plūs</span>, sscr. पुरु purú.</li>

ἄγω <span class="quantité">[ᾰ]</span>|je conduis|<li class="propre"><span style="font-weight: bold">mener, conduire</span> en gén. (p.&thinsp;opp. à φέρειν)</li><li><span style="font-weight: bold">guider</span>&nbsp;; p.&thinsp;suite (avec l'idée d'autorité) diriger, gouverner, commander</li><li>mener avec soi (<span style="font-weight: bold">amener ou emmener</span>)&nbsp;; p.&thinsp;suite attirer, faire venir</li><li>emmener, emporter, <span style="font-weight: bold">entraîner</span> (avec ou sans idée de violence)&nbsp;; entraîner avec soi par son poids, d'où <span style="font-weight: bold">peser</span></li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*h₂eǵ-</span>, <span style="font-weight: bold">conduire, mener</span>&nbsp;; cf. lat. <span class="lat">agō</span>, sscr. अजति ájati.</li>

ἔχω|j'ai|<li class="propre">propr. <span style="font-weight: bold">porter</span>, conduire, diriger</li><li><span style="font-weight: bold">s'attacher à</span>&nbsp;; d'où&nbsp;: saisir, s'emparer de, prendre</li><li><span style="font-weight: bold">retenir</span>, c.&thinsp;à&thinsp;d.&nbsp;: tenir ferme, contenir, maintenir / réprimer, arrêter</li><li><span style="font-weight: bold">tenir</span>, c.&thinsp;à&thinsp;d.&nbsp;: acquérir, obtenir</li><li>avoir à sa disposition, <span style="font-weight: bold">posséder, avoir</span></li><li>avoir en soi, <span style="font-weight: bold">contenir, renfermer</span></li><li class="étym">Étym. 1. √ indo-europ. <span class="indo-europ">*seǵʰ-</span>, <span style="font-weight: bold">avoir, posséder, victoire</span>&nbsp;; cf. gaul. <span class="fr">Segovia</span>, lat. <span class="lat">Segesta</span>, all. <span class="fr">Sieg</span> (victoire). 2. de *ϝεχέτω, de l'indo-européen commun <span class="indo-europ">*weǵʰ-</span>, <span style="font-weight: bold">conduire</span>&nbsp;; cf. lat. <span class="lat">veho</span>.</li>

ὁ γεωργός, οῦ|le paysan|<li class="propre">propr. <span style="font-weight: bold">cultivateur, laboureur</span></li><li>particul. <span style="font-weight: bold">propriétaire rural, fermier</span></li><li>p.&thinsp;ext. <span style="font-weight: bold">vigneron</span></li><li class="étym">Étym. de γῆ, <span class="fr">terre</span> et ἔργω, <span class="fr">travailler</span> &gt; γε·ωργός, <span class="fr">qui travaille la terre</span></li>

Ἀθηναῖος, ᾱ, ον|Athénien|<li style="list-style: square">Adj.<style>table, th, td {border: 1px solid lightgrey; border-collapse: collapse} th, td {padding: 5px} th {text-align: left}</style><table><tr><td>classe</td><td>masculin/neutre</td><td>féminin</td></tr><tr class="adj"><td>1<sup>ère</sup></td><td>2<sup>ème</sup> décl.</td><td>1<sup>ère</sup> décl. [<span style="font-weight: bold">ᾱ</span>/η]</td></tr></table></li><li class="étym">Étym. de Ἀθῆναι, <span class="fr">Athènes</span>, n. de v.</li>

