tags: ἕρμαιον ἕρμαιον-5 version

5.3.1|Πολλοὶ ἐν τοῖς κακοῖς τὴν τύχην αἰτιῶνται.|<span class="sujet">Πολλοὶ</span> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τοῖς κακοῖς</span></span> <span class="COD">τὴν τύχην</span> <span class="verbe">αἰτιῶνται</span><sub>-ά-ονται / moy.</sub>.|Beaucoup accusent la fortune dans leurs malheurs.
5.4.7|Ὁ ἀγαθὸς ἰατρὸς πολλοὺς φίλους ἔχει· ὁ ἀγαθὸς ἰατρὸς πολλὰ φάρμακα ἔχει.|<sup>Α</sup><span class="bloc"><span class="sujet">Ὁ <span class="adj">ἀγαθὸς</span> ἰατρὸς</span> <span class="COD"><span class="adj">πολλοὺς</span> φίλους</span> <span class="verbe">ἔχει</span></span>· <sup>Β</sup><span class="bloc"><span class="sujet">ὁ <span class="adj">ἀγαθὸς</span> ἰατρὸς</span> <span class="COD"><span class="adj">πολλὰ</span> φάρμακα</span> <span class="verbe">ἔχει</span></span>.|<sup>Α</sup>Le bon médecin a de nombreux amis&nbsp;; <sup>Β</sup>le bon médecin a de nombreux remèdes.

5.4.8|Αἱ τῶν φίλων λῦπαι μέγισταί εἰσιν· μεγίστας λύπας ἔχει ὁ φίλος.|<sup>Α</sup><span class="bloc"><span class="sujet">Αἱ <span class="CDN">τῶν φίλων</span> λῦπαι</span> <span class="attribut">μέγισταί</span> <span class="verbe">εἰσιν</span></span>· <sup>Β</sup><span class="bloc"><span class="COD"><span class="adj">μεγίστας</span> λύπας</span> <span class="verbe">ἔχει</span> <span class="sujet">ὁ φίλος</span></span>.|<sup>Α</sup>Les chagrins de mes amis sont très grands&nbsp;; <sup>Β</sup>mon ami a de très grands chagrins.

5.4.9|Ὀργίζεται τῷ ἰατρῷ ὁ δοῦλος.|<span class="verbe">Ὀργίζεται</span><sub>+dat.</sub> <span class="COI">τῷ ἰατρῷ</span> <span class="sujet">ὁ δοῦλος</span>.|L'esclave se met en colère contre le médecin.


5.5.1|Ἡ μὲν δόξα ἐστὶ τῆς ἀρετῆς σκιά, ὁ δὲ πόνος ἐστὶ τῆς ἐπιστήμης ῥίζα.|<sup>Α</sup><span class="bloc"><span class="sujet">Ἡ μὲν δόξα</span> <span class="verbe">ἐστὶ</span> <span class="attribut"><span class="CDN">τῆς ἀρετῆς</span> σκιά</span></span>, <sup>Β</sup><span class="bloc"><span class="sujet">ὁ δὲ πόνος</span> <span class="verbe">ἐστὶ</span> <span class="attribut"><span class="CDN">τῆς ἐπιστήμης</span> ῥίζα</span></span>.|<sup>Α</sup>Si la gloire est l'ombre de la vertu, <sup>Β</sup>le labeur est la racine de la science.

5.5.2|Ὑπὸ τῶν ἀραχνῶν ἐσθίονται αἱ μυῖαι.|<span class="COI"><span class="préposition">Ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν ἀραχνῶν</span></span> <span class="verbe">ἐσθίονται</span> <span class="sujet">αἱ μυῖαι</span>.|Les mouches sont mangées par les araignées.

5.5.3|Ἡ μὲν σελήνη ἐν τῷ οὐρανῷ λάμπει, ὁ δ' ἄνεμος τὰ τῶν ἐλαιῶν φύλλα σείει, τῆς δὲ θαλάττης ἀκούεται ὁ φλοῖσϐος.|<sup>Α</sup><span class="bloc"><span class="sujet">Ἡ μὲν σελήνη</span> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τῷ οὐρανῷ</span></span> <span class="verbe">λάμπει</span></span>, <sup>Β</sup><span class="bloc"><span class="sujet">ὁ δ' ἄνεμος</span> <span class="COD">τὰ <span class="CDN">τῶν ἐλαιῶν</span> φύλλα</span> <span class="verbe">σείει</span></span>, <sup>Γ</sup><span class="bloc"><span class="sujet"><span class="CDN">τῆς δὲ θαλάττης</span></span> <span class="verbe">ἀκούεται</span><sub>/ pass.</sub> <span class="sujet">ὁ φλοῖσϐος</span></span>.|<sup>Α</sup>La lune brille dans le ciel, <sup>Β</sup>le vent secoue les feuilles des oliviers <sup>Γ</sup>et le bruit des flots de la mer se fait entendre.

5.5.4|Εἰς τὴν θάλατταν ῥίπτεται ἡ τοῦ πλοίου ἄγκυρα.|<span class="CCL"><span class="préposition">Εἰς</span><sub>+acc.</sub> <span class="régime">τὴν θάλατταν</span></span> <span class="verbe">ῥίπτεται</span><sub>/ pass.</sub> <span class="sujet">ἡ <span class="CDN">τοῦ πλοίου</span> ἄγκυρα</span>.|L'ancre du navire est jetée dans la mer.

5.5.5|Ἡ τράπεζα μεστή ἐστι καρπῶν.|<span class="sujet">Ἡ τράπεζα</span> <span class="attribut"><span class="préposition">μεστή</span><sub>+gen.</sub></span> <span class="verbe">ἐστι</span> <span class="attribut"><span class="régime">καρπῶν</span></span>.|La table est pleine de fruits.

5.5.6|Ὑπὸ τῆς θεραπαίνης κλείεται ἡ τῆς οἰκίας θύρα.|<span class="COI"><span class="préposition">Ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῆς θεραπαίνης</span></span> <span class="verbe">κλείεται</span><sub>/ pass.</sub> <span class="sujet">ἡ <span class="CDN">τῆς οἰκίας</span> θύρα</span>.|La porte de la maison est fermée par la servante.

5.5.7|Πῶς οἱ ἄνθρωποι τοὺς θεοὺς καὶ τὰς θεὰς ἱλάσκονται&nbsp;; &ndash;&nbsp;Εὐχαῖς καὶ θυσίαις.|<span class="verbe adv">Πῶς</span> <span class="sujet">οἱ ἄνθρωποι</span> <span class="COD">τοὺς θεοὺς καὶ τὰς θεὰς</span> <span class="verbe">ἱλάσκονται</span>&nbsp;; &ndash;&nbsp;<span class="COI">Εὐχαῖς καὶ θυσίαις</span>.|Comment les hommes se concilient-ils les dieux et les déesses&nbsp;? &ndash;&nbsp;Par des prières et des sacrifices.

5.5.8|Τῇ αὔρᾳ ὑποσείεται ἡ τῆς Ἀφροδίτης κόμη.|<span class="COI">Τῇ αὔρᾳ</span> <span class="verbe">ὑποσείεται</span><sub>/ pass.</sub> <span class="sujet">ἡ <span class="CDN">τῆς Ἀφροδίτης</span> κόμη</span>.|La chevelure d'Aphrodite est secouée légèrement par la brise.

5.5.9|Ποῦ εἰσιν αἱ παρθένοι&nbsp;; &ndash;&nbsp;Αἱ παρθένοι εἰσὶν ἐν τῇ ἀμπέλῳ.|<span class="verbe adv">Ποῦ</span> <span class="verbe">εἰσιν</span> <span class="sujet">αἱ παρθένοι</span>&nbsp;; &ndash;&nbsp;<span class="sujet">Αἱ παρθένοι</span> <span class="verbe">εἰσὶν</span> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τῇ ἀμπέλῳ</span></span>.|Où sont les jeunes filles&nbsp;? &ndash;&nbsp;Les jeunes filles sont dans la vigne.

5.5.10|Πολλαί εἰσι νῆσοι ἐν τῇ θαλάττῃ.|<span class="attribut">Πολλαί</span> <span class="verbe">εἰσι</span> <span class="sujet">νῆσοι</span> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τῇ θαλάττῃ</span></span>.|Il y a de nombreuses îles dans la mer. (litt. “Les îles sont nombreuses dans la mer.”)


5.7.1|Πρόϐατα εὖ τρεφόμενα καὶ καλῶς θεραπευόμενα οὐ πολλάκις ταῖς νόσοις διαφθείρεται.|<span class="sujet">Πρόϐατα <span class="CDN"><span class="adv">εὖ</span> τρεφόμενα καὶ <span class="adv">καλῶς</span> θεραπευόμενα</span></span><sub>[n.pl.]</sub> <span class="verbe adv">οὐ πολλάκις</span> <span class="COI">ταῖς νόσοις</span> <span class="verbe">διαφθείρεται</span><sub>[3S] / pass.</sub>.|Le bétail, bien nourri et bien soigné, n'est pas souvent décimé par les maladies.

5.7.2|Γῆ εὖ θεραπευομένη καρποὺς πλείστους φέρει.|<span class="sujet">Γῆ <span class="CDN"><span class="adv">εὖ</span> θεραπευομένη</span></span> <span class="COD">καρποὺς <span class="adj">πλείστους</span></span> <span class="verbe">φέρει</span>.|Une terre, bien soignée, produit de très nombreux fruits.

5.7.3|Ὑπὸ τῶν θεῶν φιλούμενος καὶ ὑπὸ τῶν ἄλλων Ἀθηναίων τιμώμενος καὶ παρὰ τῶν ξένων δῶρα πλεῖστα δεχόμενος, ἀγαθὴν ἔχω τύχην.|<span class="bloc"><sup>Α</sup><span class="attribut"><span class="COI"><span class="préposition">Ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν θεῶν</span></span> φιλούμενος</span> καὶ <sup>Β</sup><span class="attribut"><span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν <span class="adj">ἄλλων</span> Ἀθηναίων</span></span> τιμώμενος</span> καὶ <sup>Γ</sup><span class="attribut"><span class="COI"><span class="préposition">παρὰ</span><sub>+gén.</sub> <span class="régime">τῶν ξένων</span></span> <span class="COD">δῶρα <span class="adj">πλεῖστα</span></span> δεχόμενος</span></span>, <sup>Δ</sup><span class="COD adj">ἀγαθὴν</span> <span class="verbe">ἔχω</span> <span class="COD">τύχην</span>.|<sup>Α</sup>Aimé des dieux, <sup>Β</sup>honoré des autres Athéniens et <sup>Γ</sup>recevant de très nombreux cadeaux de la part de mes hôtes, <sup>Δ</sup>j'ai de la chance.

5.7.4|Τοῖς ἔργοις οἱ γεωργοὶ εὖ ποιοῦσι τοὺς ἄλλους ἀνθρώπους· ἀγαθὰ γὰρ πλεῖστα φέρει ἡ γεωργία τοῖς ἀνθρώποις.|<sup>Α</sup><span class="bloc"><span class="COI">Τοῖς ἔργοις</span> <span class="sujet">οἱ γεωργοὶ</span> <span class="verbe adv">εὖ</span> <span class="verbe">ποιοῦσι</span><sub>-έ-ουσῐ / +acc.</sub> <span class="COD">τοὺς <span class="adj">ἄλλους</span> ἀνθρώπους</span></span>· <sup>Β</sup><span class="bloc"><span class="COD">ἀγαθὰ</span> γὰρ <span class="COD adj">πλεῖστα</span> <span class="verbe">φέρει</span> <span class="sujet">ἡ γεωργία</span> <span class="COI">τοῖς ἀνθρώποις</span></span>.|<sup>Α</sup>Par leurs travaux les paysans sont bienfaisants à l'égard des autres hommes&nbsp;: <sup>Β</sup>en effet, l'agriculture apporte aux hommes des bienfaits en abondance.

5.7.5|Ἀρότροις ἐργάζονται οἱ γεωργοὶ τὴν γῆν.|<span class="COI">Ἀρότροις</span> <span class="verbe">ἐργάζονται</span> <span class="sujet">οἱ γεωργοὶ</span> <span class="COD">τὴν γῆν</span>.|Les paysans travaillent la terre avec des araires.

5.7.6|Ὁ μὲν ἰατρὸς τὰς νόσους θεραπεύει, ὁ δὲ γεωργὸς τὴν γῆν ἐργάζεται καὶ θεραπεύει τὰ πρόϐατα.|<sup>Α</sup><span class="bloc"><span class="sujet">Ὁ μὲν ἰατρὸς</span> <span class="COD">τὰς νόσους</span> <span class="verbe">θεραπεύει</span></span>, <sup>Β</sup><span class="bloc"><span class="sujet">ὁ δὲ γεωργὸς</span> <span class="COD">τὴν γῆν</span> <span class="verbe">ἐργάζεται</span> καὶ <span class="verbe">θεραπεύει</span> <span class="COD">τὰ πρόϐατα</span></span>.|<sup>Α</sup>Le médecin soigne les maladies et <sup>Β</sup>le paysan travaille la terre et soigne le bétail.

5.7.7|Δεινὸν ἐνίοθ' αἱ χάλαζαι τοῖς τὴν γῆν ἐργαζομένοις· χαλάζαις γὰρ ἐνίοτε διαφθείρεται πλεῖστα ἐν τοῖς ἀγροῖς.|<sup>Α</sup><span class="bloc"><span class="attribut">Δεινὸν</span> <span class="verbe adv">ἐνίοθ'</span> <span class="sujet">αἱ χάλαζαι</span> <span class="COI">τοῖς <span class="COD CDN">τὴν γῆν</span> ἐργαζομένοις</span></span>· <sup>Β</sup><span class="bloc"><span class="COI">χαλάζαις</span> γὰρ <span class="verbe adv">ἐνίοτε</span> <span class="verbe">διαφθείρεται</span><sub>[3S] / pass.</sub> <span class="sujet">πλεῖστα</span><sub>[n.pl.]</sub> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τοῖς ἀγροῖς</span></span></span>.|<sup>Α</sup>Les averses de grêle sont parfois une chose terrible pour ceux qui travaillent la terre&nbsp;: <sup>Β</sup>en effet, de très nombreux dégâts sont occasionnés dans les champs par la grêle (litt. “de très nombreuses choses sont ravagées dans les champs par la grêle”).

5.7.8|Οἱ φρόνιμοι τοὺς θεοὺς θεραπεύουσιν.|<span class="sujet">Οἱ φρόνιμοι</span> <span class="COD">τοὺς θεοὺς</span> <span class="verbe">θεραπεύουσιν</span>.|Les gens sensés honorent les dieux.

5.7.9|Ἀνάγκη ἐστὶ πολλάκις τοῖς δούλοις εἶναι πανούργους.|<span class="sujet">Ἀνάγκη</span> <span class="verbe">ἐστὶ</span> <span class="verbe adv">πολλάκις</span> <span class="COI">τοῖς δούλοις</span> <span class="prop-infinitive"><span class="verbe">εἶναι</span> <span class="attribut">πανούργους</span><sub>attr. à l'acc. (ou au dat.)</sub></span>.|Il est souvent nécessaire aux esclaves d'être rusés.


5.8.1|Ἴκτερος οὐκ ἔστι δεινὴ νόσος τοῖς ὑπ' ἀγαθοῦ ἰατροῦ θεραπευομένοις.|<span class="sujet">Ἴκτερος</span> <span class="verbe adv">οὐκ</span> <span class="verbe">ἔστι</span> <span class="attribut"><span class="adj">δεινὴ</span> νόσος</span> <span class="COI">τοῖς <span class="CDN"><span class="préposition">ὑπ'</span><sub>+gén.</sub> <span class="régime"><span class="adj">ἀγαθοῦ</span> ἰατροῦ</span></span> θεραπευομένοις</span>.|La jaunisse n'est pas une maladie terrible pour ceux qui sont soignés par un bon médecin.

5.8.2|Οἱ καρποὶ οἱ ὑπὸ τοῦ δούλου φερόμενοι καλοί εἰσιν.|<span class="sujet">Οἱ καρποὶ <span class="adj">οἱ <span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τοῦ δούλου</span> φερόμενοι</span></span> <span class="attribut">καλοί</span> <span class="verbe">εἰσιν</span>.|Les fruits qu'apporte l'esclave sont beaux.

5.8.3|Οὐ προσήκει ὀργίζεσθαι τοῖς δούλοις τοῖς εὖ ἐργαζομένοις.|<span class="verbe adv">Οὐ</span> <span class="verbe">προσήκει</span> <span class="prop-infinitive"><span class="verbe">ὀργίζεσθαι</span><sub>/ +dat.</sub> <span class="COI">τοῖς δούλοις <span class="adj">τοῖς <span class="adv">εὖ</span> ἐργαζομένοις</span></span></span>.|Il ne faut pas se mettre en colère contre les esclaves qui travaillent bien.

5.8.4|Ἡ γῆ ὑπὸ τῶν γεωργῶν θεραπεύεται.|<span class="sujet">Ἡ γῆ</span> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν γεωργῶν</span></span> <span class="verbe">θεραπεύεται</span><sub>/ pass.</sub>.|La terre est soignée par les paysans.

5.8.5|Ἡ γῆ τοῖς ὄμϐροις τρέφεται.|<span class="sujet">Ἡ γῆ</span> <span class="COI">τοῖς ὄμϐροις</span> <span class="verbe">τρέφεται</span><sub>/ pass.</sub>.|La terre est nourrie par les pluies.

5.8.6|Οἱ ἄνθρωποι ἱμάτια ποιοῦνται τῷ τῶν προϐάτων ἐρίῳ.|<span class="sujet">Οἱ ἄνθρωποι</span> <span class="COD">ἱμάτια</span> <span class="verbe">ποιοῦνται</span><sub>-έ-ονται / moy.</sub> <span class="COI">τῷ <span class="CDN">τῶν προϐάτων</span> ἐρίῳ</span>.|Les hommes se font des vêtements avec la laine des moutons.

5.8.7|Καρποὶ πολλοὶ πίπτουσιν ἐν τοῖς ἀγροῖς τοῖς τῇ χαλάζῃ διαφθειρομένοις.|<span class="sujet">Καρποὶ <span class="adj">πολλοὶ</span></span> <span class="verbe">πίπτουσιν</span> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τοῖς ἀγροῖς <span class="adj">τοῖς τῇ χαλάζῃ διαφθειρομένοις</span></span></span>.|Beaucoup de fruits tombent dans les champs qui sont dévastés par la grêle.


Γνῶμαι μονόστιχοι, 305 – Μένανδρος|Ἡ γλῶττα πολλῶν ἐστιν αἰτία κακῶν.|<span class="sujet">Ἡ γλῶττα</span> <span class="attribut"><span class="CDN adj">πολλῶν</span></span> <span class="verbe">ἐστιν</span> <span class="attribut">αἰτία <span class="CDN">κακῶν</span></span>.|La langue est cause de bien des maux.

Γνῶμαι μονόστιχοι, 476 – Μένανδρος|Μέγιστον ὀργῆς ἐστι φάρμακον λόγος.|<span class="attribut"><span class="adj">Μέγιστον</span> <span class="CDN">ὀργῆς</span></span> <span class="verbe">ἐστι</span> <span class="attribut">φάρμακον</span> <span class="sujet">λόγος</span>.|La raison est un puissant remède de la colère.

Γνῶμαι μονόστιχοι, 452 – Μένανδρος|Λύπης ἰατρός ἐστιν ἀνθρώποις λόγος.|<span class="attribut"><span class="CDN">Λύπης</span> ἰατρός</span> <span class="verbe">ἐστιν</span> <span class="COI">ἀνθρώποις</span> <span class="sujet">λόγος</span>.|La raison est pour les hommes le médecin du chagrin.

Γνῶμαι μονόστιχοι, 440 – Μένανδρος|Λῦπαι τοῖς ἀνθρώποις τίκτουσι νόσον.|<span class="sujet">Λῦπαι</span> <span class="COI">τοῖς ἀνθρώποις</span> <span class="verbe">τίκτουσι</span> <span class="COD">νόσον</span>.|Les chagrins rendent les hommes malades. (litt. “Les chagrins engendrent la maladie aux hommes”)

Γνῶμαι μονόστιχοι, 794 – Μένανδρος|Ὑπερηφανία μέγιστον ἀνθρώποις κακόν.|<span class="sujet">Ὑπερηφανία</span> <span class="attribut"><span class="adj">μέγιστον</span></span> <span class="COI">ἀνθρώποις</span> <span class="attribut">κακόν</span>.|L'orgueil est un très grand mal pour les hommes.

Γνῶμαι μονόστιχοι, 578 – Μένανδρος|Ὀργὴ δὲ πολλοὺς δρᾶν ἀναγκάζει κακόν.|<span class="sujet">Ὀργὴ</span> δὲ <span class="prop-infinitive"><span class="sujet">πολλοὺς</span> <span class="verbe">δρᾶν</span><sub>-ά-ε̄ν</sub></span> <span class="verbe">ἀναγκάζει</span> <span class="prop-infinitive"><span class="COD">κακόν</span></span>.|La colère contraint beaucoup de gens à mal agir. (litt. “à faire le mal”)

Γνῶμαι μονόστιχοι, ?? – Μένανδρος|Ἀνθρωπίνως δεῖ τὰς τύχας φέρειν, ξένε.|<span class="verbe adv">Ἀνθρωπίνως</span> <span class="verbe">δεῖ</span> <span class="prop-infinitive"><span class="COD">τὰς τύχας</span> <span class="verbe">φέρειν</span></span>, ξένε.|Il faut, étranger, supporter d'une façon digne d'un homme les vicissitudes du sort.

Γνῶμαι μονόστιχοι, 862 – Μένανδρος|Ὡς εὐκόλως πίπτουσιν αἱ λαμπραὶ τύχαι.|<span class="verbe adv">Ὡς εὐκόλως</span> <span class="verbe">πίπτουσιν</span> <span class="sujet">αἱ <span class="adj">λαμπραὶ</span> τύχαι</span>.|Comme les brillantes fortunes s'écroulent facilement&nbsp;!

