tags: ἕρμαιον ἕρμαιον-4 version

4.6.4|Οἱ ἐλεύθεροι δούλους ἔχουσιν. / Τοῖς ἐλευθέροις δοῦλοί εἰσιν.|<span class="sujet">Οἱ ἐλεύθεροι</span> <span class="COD">δούλους</span> <span class="verbe">ἔχουσιν</span>. / <span class="COI">Τοῖς ἐλευθέροις</span> <span class="sujet">δοῦλοί</span> <span class="verbe">εἰσιν</span>.|Les [hommes] libres ont des esclaves.

4.6.5|Οἱ ἵπποι ὑπὸ τῶν δούλων εἰς τὸν ἀγρὸν ἄγονται.|<span class="sujet">Οἱ ἵπποι</span> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν δούλων</span></span> <span class="CCL"><span class="préposition">εἰς</span><sub>+acc.</sub> <span class="régime">τὸν ἀγρὸν</span></span> <span class="verbe">ἄγονται</span><sub>/ pass.</sub>.|Les chevaux sont conduits au champ par les esclaves.

4.6.6|Πολλάκις οἱ πονηροὶ τοὺς χρηστοὺς τοῖς δόλοις ἀπατῶσιν.|Πολλάκις <span class="sujet">οἱ πονηροὶ</span> <span class="COD">τοὺς χρηστοὺς</span> <span class="COI">τοῖς δόλοις</span> <span class="verbe">ἀπατῶσιν</span><sub>-ά-ουσῐ</sub>.|Les fripons trompent souvent les honnêtes gens par leurs ruses.

4.6.7|Οἱ χρηστοὶ πολλάκις ἀπατῶνται τοῖς τῶν πονηρῶν δόλοις.|<span class="sujet">Οἱ χρηστοὶ</span> <span class="verbe adv">πολλάκις</span> <span class="verbe">ἀπατῶνται</span><sub>-ά-ονται / pass.</sub> <span class="COI">τοῖς <span class="CDN">τῶν πονηρῶν</span> δόλοις</span>.|Les honnêtes gens sont souvent trompés par les ruses des fripons.

4.6.8|Ὁ ἄθλιος δοῦλος μαστιγοῦται.|<span class="sujet">Ὁ <span class="adj">ἄθλιος</span> δοῦλος</span> <span class="verbe">μαστιγοῦται</span><sub>-ό-ονται / pass.</sub>.|Le pauvre esclave est fouetté.

4.6.9|Ὁ Ἀλέξανδρος τὸν Δαρεῖον νικᾷ.|<span class="sujet">Ὁ Ἀλέξανδρος</span> <span class="COD">τὸν Δαρεῖον</span> <span class="verbe">νικᾷ</span><sub>-ά-ει</sub>.|Alexandre vainc Darius.

4.6.10|Ὁ Δαρεῖος υπὸ τοῦ Ἀλεξάνδρου νικᾶται.|<span class="sujet">Ὁ Δαρεῖος</span> <span class="COI">υπὸ τοῦ Ἀλεξάνδρου</span> <span class="verbe">νικᾶται</span><sub>-ά-εται / pass.</sub>.|Darius est vaincu par Alexandre.


4.7.1|Ἔρημοι φίλων γίγνονται οἱ ἄνθρωποι οἱ πονηροί.|<span class="attribut"><span class="préposition">Ἔρημοι</span><sub>+gén.</sub> <span class="régime">φίλων</span></span> <span class="verbe">γίγνονται</span> <span class="sujet">οἱ ἄνθρωποι <span class="adj">οἱ πονηροί</span>.</span>|Les méchants sont privés d'amis.

4.7.2|Τοὺς θεοὺς τιμᾶν ἀνάγκη.|<span class="prop-infinitive"><span class="COD">Τοὺς θεοὺς</span> <span class="verbe">τιμᾶν</span><sub>-ά-ε̄ν</sub></span> <span class="verbe">ἀνάγκη</span>.|Il est nécessaire d'honorer les dieux.

4.7.3|Τοὺς ξένους τιμᾶν καὶ εὖ δέχεσθαι προσήκει.|<span class="prop-infinitive"><span class="COD">Τοὺς ξένους</span> <span class="verbe">τιμᾶν</span><sub>-ά-ε̄ν</sub> καὶ <span class="verbe adv">εὖ</span> <span class="verbe">δέχεσθαι</span></span> <span class="verbe">προσήκει</span>.|Il faut honorer et bien recevoir ses hôtes.

4.7.4|Καιρός ἐστι θύεσθαι τῷ Διονύσῳ, τῷ τοῦ οἴνου θεῷ.|<span class="sujet">Καιρός</span> <span class="verbe">ἐστι</span> <span class="prop-infinitive"><span class="verbe">θύεσθαι</span> <span class="COI">τῷ Διονύσῳ</span>, <span class="COI">τῷ <span class="CDN">τοῦ οἴνου</span> θεῷ</span>.</span>|C'est le moment propice pour sacrifier à Dionysos, le dieu du vin.

4.7.5|Οὐ προσήκει τοῖς δούλοις γίγνεσθαι ῥᾳθύμους.|<span class="verbe adv">Οὐ</span> <span class="verbe">προσήκει</span> <span class="COI">τοῖς δούλοις</span> <span class="prop-infinitive"><span class="verbe">γίγνεσθαι</span> <span class="attribut">ῥᾳθύμους</span> <sub>attr. à l'acc. (ou au dat.)</sub></span>.|Il ne faut pas que les esclaves deviennent paresseux. (litt. “Il ne convient pas aux esclaves de devenir paresseux.”)

4.7.6|Ἀνθρώπῳ χρηστῷ προσήκει βοηθεῖν τοῖς φίλοις.|<span class="COI">Ἀνθρώπῳ <span class="adj">χρηστῷ</span></span> <span class="verbe">προσήκει</span> <span class="prop-infinitive"><span class="verbe">βοηθεῖν</span><sub>-έ-ειν</sub> <span class="COI">τοῖς φίλοις</span></span>.|Il convient à un homme de bien de porter secours à ses amis.

4.7.7|Τοῖς νέοις προσήκει εἶναι σπουδαίους.|<span class="COI">Τοῖς νέοις</span> <span class="verbe">προσήκει</span> <span class="prop-infinitive"><span class="verbe">εἶναι</span> <span class="attribut">σπουδαίους</span> <sub>attr. à l'acc. (ou au dat.)</sub></span>.|Aux jeunes gens, il convient d'être diligents.

4.7.8|Οἱ θεοὶ προστάττουσι τοῖς ἀνθρώποις εἶναι φιλοξένοις.|<span class="sujet">Οἱ θεοὶ</span> <span class="verbe">προστάττουσι</span> <span class="COI">τοῖς ἀνθρώποις</span> <span class="prop-infinitive"><span class="verbe">εἶναι</span> <span class="attribut">φιλοξένοις</span> <sub>attr. au dat. (ou à l'acc.)</sub></span>.|Les dieux prescrivent aux hommes d'être hospitaliers.

4.7.9|Οἱ μὲν δοῦλοί εἰσιν, οἱ δ' ἐλεύθεροι.|<span class="bloc"><span class="sujet">Οἱ μὲν</span> <span class="attribut">δοῦλοί</span> <span class="verbe">εἰσιν</span></span>, <span class="bloc"><span class="sujet">οἱ δ'</span> <span class="attribut">ἐλεύθεροι</span></span>.|Les uns sont esclaves, les autres libres.

4.7.10|Οἱ μὲν ἄνθρωποι λόγον ἔχουσι, τὰ δ' ἄλλα ζῷα οὐκ ἔχει.|<span class="bloc"><span class="sujet">Οἱ μὲν ἄνθρωποι</span> <span class="COD">λόγον</span> <span class="verbe">ἔχουσι</span></span>, <span class="bloc"><span class="sujet">τὰ δ' <span class="adj">ἄλλα</span> ζῷα</span><sub>[n.pl.]</sub> <span class="verbe adv">οὐκ</span> <span class="verbe">ἔχει</span><sub>[3S]</sub></span>.|Les hommes possèdent la parole mais pas les autres animaux.

4.7.11|Ὑπὸ τῶν μὲν τιμῶνται οἱ θεοί, ὑπὸ τῶν δ' οὔ.|<span class="bloc"><span class="COI"><span class="préposition">Ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν μὲν</span></span> <span class="verbe">τιμῶνται</span><sub>-ά-ονται / pass.</sub> <span class="sujet">οἱ θεοί</span></span>, <span class="bloc"><span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν δ'</span></span> οὔ</span>.|Les dieux sont honorés par certains et pas par d'autres.

4.7.12|Ζῷα ἐν τοῖς ἐρήμοις ἀγροῖς τρέχει.|<span class="sujet">Ζῷα</span><sub>[n.pl.]</sub> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τοῖς <span class="adj">ἐρήμοις</span> ἀγροῖς</span></span> <span class="verbe">τρέχει</span><sub>[3S]</sub>.|Des animaux courent dans les champs déserts.

4.7.13|Φιλάνθρωπον προσήκει εἶναι.|<span class="prop-infinitive"><span class="attribut">Φιλάνθρωπον</span> <sub>attr. à l'acc.</sub></span> <span class="verbe">προσήκει</span> <span class="prop-infinitive"><span class="verbe">εἶναι</span></span>.|Il convient d'être humain.

4.7.14|Τοὺς δούλους ἀναγκάζειν προσήκει γίγνεσθαι φιλεργούς.|<span class="prop-infinitive"><span class="COD">Τοὺς δούλους</span> <span class="verbe">ἀναγκάζειν</span></span> <span class="verbe">προσήκει</span> <span class="prop-infinitive">γίγνεσθαι <span class="attribut">φιλεργούς</span></span>.|Il faut obliger les esclaves à devenir laborieux.

4.7.15|Ὁ τοῦ Ἀθηναίου ξένος δῶρον δέχεται καλόν.|<span class="sujet">Ὁ <span class="CDN">τοῦ Ἀθηναίου</span> ξένος</span> <span class="COD">δῶρον</span> <span class="verbe">δέχεται</span> <span class="COD"><span class="adj">καλόν</span></span>.|L'hôte de l'Athénien reçoit un beau présent.

4.7.16|Τοῖς ἐλευθέροις προσήκει εὖ ποιεῖν τοὺς δούλους.|<span class="COI">Τοῖς ἐλευθέροις</span> <span class="verbe">προσήκει</span> <span class="prop-infinitive"><span class="verbe adv">εὖ</span> <span class="verbe">ποιεῖν</span><sub>-έ-ειν</sub> <span class="COD">τοὺς δούλους</span></span>.|Il convient aux hommes libres de bien traiter les esclaves.

4.7.17|Οἱ θεοὶ οὐκ ἀεὶ εὖ ποιοῦσι τοὺς ἀνθρώπους.|<span class="sujet">Οἱ θεοὶ</span> <span class="verbe adv">οὐκ ἀεὶ εὖ</span> <span class="verbe">ποιοῦσι</span><sub>-έ-ουσῐ</sub> <span class="COD">τοὺς ἀνθρώπους</span>.|Les dieux ne font pas toujours du bien aux hommes.


Γνῶμαι μονόστιχοι, 822 – Μένανδρος|Χρηστὸς πονηροῖς οὐ τιτρώσκεται λόγοις.|<span class="sujet">Χρηστὸς</span> <span class="COI"><span class="adj">πονηροῖς</span></span> <span class="verbe adv">οὐ</span> <span class="verbe">τιτρώσκεται</span><sub>/ pass.</sub> <span class="COI">λόγοις</span>.|L'homme de valeur n'est pas blessé par des propos malveillants.

Γνῶμαι μονόστιχοι, 11 – Μένανδρος|Ἄδικον τὸ λυπεῖν τοὺς φίλους ἑκουσίως.|<span class="attribut">Ἄδικον</span> <span class="sujet">τὸ λυπεῖν<sub>-έ-ειν</sub></span> <span class="COD">τοὺς φίλους</span> <span class="verbe adv">ἑκουσίως</span>.|Il est injuste de peiner volontairement ses amis. (litt. “Le fait de peiner volontairement ses amis est injuste.”)

Γνῶμαι μονόστιχοι, 630 – Μένανδρος|Πολλῶν ὁ καιρὸς γίγνεται διδάσκαλος.|<span class="attribut"><span class="CDN">Πολλῶν</span></span> <span class="sujet">ὁ καιρὸς</span> <span class="verbe">γίγνεται</span> <span class="attribut">διδάσκαλος</span>.|Les circonstances sont riches d'enseignements. (litt. “L'occasion est professeur de nombreuses choses.”)

Γνῶμαι μονόστιχοι, 583 – Μένανδρος|Ὃν οἱ θεοὶ φιλοῦσιν ἀποθνῄσκει νέος.|<span class="sujet">Ὃν <span class="CDN">οἱ θεοὶ φιλοῦσιν<sub>-έω</sub></span></span> <span class="verbe">ἀποθνῄσκει</span> <span class="attribut">νέος</span>.|Celui que les dieux aiment meurt jeune.


Οἰκονομικός (1) – Ξενοφῶν|ΣΩΚΡΑΤΗΣ &ndash; <sup>Α</sup>Πρῶτον μέν σοι ἀνάγκη ἐστὶ θύειν πολλὰ καὶ μεγάλα. <sup>Β</sup>Ἔπειτα ξένους προσήκει σοι πολλοὺς δέχεσθαι μεγαλοπρεπῶς, <sup>Γ</sup>ἔπειτα δὲ Ἀθηναίους δειπνίζειν καὶ εὖ ποιεῖν, <sup>Δ</sup>ἢ ἔρημον συμμάχων εἶναι. <sup>Ε</sup>Ἔτι δὲ καὶ προστάττουσί σοι μεγάλα ποιεῖν&nbsp;· <sup>Ζ</sup>χορηγίας καὶ γυμνασιαρχίας καὶ τριηραρχίας καὶ εἰσφοράς.|<p><sup>Α</sup><span class="verbe adv">Πρῶτον</span> μέν <span class="COI">σοι</span> <span class="sujet">ἀνάγκη</span> <span class="verbe">ἐστὶ</span> <span class="prop-infinitive"><span class="verbe">θύειν</span> <span class="COD">πολλὰ καὶ μεγάλα</span></span>.</p><p><sup>Β</sup><span class="verbe adv">Ἔπειτα</span> <span class="prop-infinitive"><span class="COD">ξένους</span></span> <span class="verbe">προσήκει</span> <span class="COI">σοι</span> <span class="prop-infinitive"><span class="COD"><span class="adj">πολλοὺς</span></span> <span class="verbe">δέχεσθαι</span> <span class="verbe adv">μεγαλοπρεπῶς</span></span>,</p><p><sup>Γ</sup><span class="verbe adv">ἔπειτα</span> δὲ <span class="prop-infinitive"><span class="COD">Ἀθηναίους</span> <span class="verbe">δειπνίζειν</span> καὶ <span class="verbe adv">εὖ</span> <span class="verbe">ποιεῖν</span><sub>-έ-ειν</sub></span>,</p><p><sup>Δ</sup>ἢ <span class="prop-infinitive"><span class="attribut"><span class="préposition">ἔρημον</span><sub>attr. à l'acc. / +gén.</sub> <span class="régime">συμμάχων</span></span> <span class="verbe">εἶναι</span></span>.</p><p><sup>Ε</sup><span class="verbe adv">Ἔτι</span> δὲ καὶ <span class="verbe">προστάττουσί</span> <span class="COI">σοι</span> <span class="prop-infinitive"><span class="COD">μεγάλα</span> <span class="verbe">ποιεῖν</span><sub>-έ-ειν</sub></span>&nbsp;·</p><p><sup>Ζ</sup><span class="COD">χορηγίας καὶ γυμνασιαρχίας καὶ τριηραρχίας καὶ εἰσφοράς</span>.</p>|<p><sup>Α</sup>Il t'est tout d'abord nécessaire de faire beaucoup et d'importants sacrifices.<span style="font-size: 80%"><br>&blacktriangleright; <span style="font-weight:bold">πρῶτον</span>, d'abord&nbsp;; <span style="font-weight:bold">σοι</span>, pour toi (pronom personnel de la 2e pers., dat. sg.)&nbsp;; <span style="font-weight:bold">μεγάλα</span>, pl. neutre de l'adj. μέγας, grand<br>&blacktriangleright; Le nombre et l'importance des sacrifices qu'il offre aux dieux sont un élément important du rôle social d'un citoyen riche.</span></p><p><sup>Β</sup>Ensuite, il convient que tu reçoives somptueusement de nombreux invités,<span style="font-size: 80%"><br>&blacktriangleright; <span style="font-weight:bold">ἔπειτα</span>, ensuite&nbsp;; <span style="font-weight:bold">μεγαλοπρεπῶς</span>, avec magnificence</span></p><p><sup>Γ</sup>et que tu reçoives les Athéniens à dîner et les traites bien,<span style="font-size: 80%"><br>&blacktriangleright; ce membre de phrase dépend toujours de προσήκει σοι&nbsp;; <span style="font-weight:bold">δειπνίζω</span>, je reçois à dîner (dénominal de τὸ δεῖπνον, le dîner)</span></p><p><sup>Δ</sup>sous peine d'être privé d'alliés.<span style="font-size: 80%"><br>&blacktriangleright; <span style="font-weight:bold">ἤ</span>, ou bien, sous peine de</span></p><p><sup>Ε</sup>En outre, il t'est prescrit de remplir d'importantes charges&nbsp;:<span style="font-size: 80%"><br>&blacktriangleright; <span style="font-weight:bold">ἔτι δὲ καὶ</span>, en outre</span></p><p><sup>Ζ</sup>chorégies, gymnasiarchies, triérarchies et contributions volontaires.<span style="font-size: 80%"><br>&blacktriangleright; la <span style="font-weight:bold">χορηγία</span> (chorégie) est l'obligation pour un citoyen riche d'être chorège, c.&nbsp;à&nbsp;d. d'assumer les frais d'une des représentations d'un concours dramatique<br>&blacktriangleright; la <span style="font-weight:bold">γυμνασιαρχία</span> (gymnasiarchie) est l'organisation d'une course aux flambeaux, ce qui a lieu aux fêtes des divinités du feu (Héphaïstos, Athéna, Prométhée)<br>&blacktriangleright; la <span style="font-weight:bold">τριηραρχία</span> (triérarchie) est l'obligation d'équiper pour l'État une trière, c.&nbsp;à&nbsp;d. un navire de guerre<br>&blacktriangleright; une <span style="font-weight:bold">εἰσφορά</span> est une contribution volontaire versée en cas de guerre pour l'entretien de l'armée</span></p>
