tags: ἕρμαιον ἕρμαιον-10 conjugaison

ἐδήλουν (2a)|je montrais|indicatif imperfectif passé (imparfait)|voix active|ἐδήλ-ουν|[*ἐδήλο-ο<span class="désinence">-ν</span>]|ἐδήλ-ους|[*ἐδήλο-ε<span class="désinence">-ς</span>]|ἐδήλ-ου|[*ἐδήλο-ε]|ἐδηλ-οῦμεν|[*ἐδηλό-ο<span class="désinence">-μεν</span>]|ἐδηλ-οῦτε|[*ἐδηλό-ε<span class="désinence">-τε</span>]|ἐδήλ-ουν|[*ἐδήλο-ο<span class="désinence">-ν</span>]

ἐδηλούμην (2mp)|je montrais (M), j'étais montré (P)|indicatif imperfectif passé (imparfait)|voix médio-passive|ἐδηλ-ούμην|[*ἐδηλο-ό<span class="désinence">-μην</span>]|ἐδηλ-οῦ|[*ἐδηλό-ου (-ε<span class="désinence">-σο</span>)]|ἐδηλ-οῦτο|[*ἐδηλό-ε<span class="désinence">-το</span>]|ἐδηλ-ούμεθα|[*ἐδηλο-ό<span class="désinence">-μεθᾰ</span>]|ἐδηλ-οῦσθε|[*ἐδηλό-ε<span class="désinence">-σθε</span>]|ἐδηλ-οῦντο|[*ἐδηλό-ο<span class="désinence">-ντο</span>]


ἐδίψων (2a)|j'avais soif|indicatif imperfectif passé (imparfait)|voix active|ἐδίψ-ων|[*ἐδίψη-ο<span class="désinence">-ν</span>]|ἐδίψ-ης|[*ἐδίψη-ε<span class="désinence">-ς</span>]|ἐδίψ-η|[*ἐδίψη-ε]|ἐδιψ-ῶμεν|[*ἐδιψή-ο<span class="désinence">-μεν</span>]|ἐδιψ-ῆτε|[*ἐδιψή-ε<span class="désinence">-τε</span>]|ἐδίψ-ων|[*ἐδίψη-ο<span class="désinence">-ν</span>]

ἔζων (2a)|je vivais|indicatif imperfectif passé (imparfait)|voix active|ἔζ-ων|[*ἔζη-ο<span class="désinence">-ν</span>]|ἔζ-ης|[*ἔζη-ε<span class="désinence">-ς</span>]|ἔζ-η|[*ἔζη-ε]|ἐζ-ῶμεν|[*ἐζή-ο<span class="désinence">-μεν</span>]|ἐζ-ῆτε|[*ἐζή-ε<span class="désinence">-τε</span>]|ἔζ-ων|[*ἔζη-ο<span class="désinence">-ν</span>]

ἐχρώμην (2m)|je me servais de|indicatif imperfectif passé (imparfait)|voix moyenne|ἐχρ-ώμην|[*ἐχρη-ό<span class="désinence">-μην</span>]|ἐχρ-ῶ|[*ἐχρή-ου (-ε<span class="désinence">-σο</span>)]|ἐχρ-ῆτο|[*ἐχρή-ε<span class="désinence">-το</span>]|ἐχρ-ώμεθα|[*ἐχρη-ό<span class="désinence">-μεθᾰ</span>]|ἐχρ-ῆσθε|[*ἐχρή-ε<span class="désinence">-σθε</span>]|ἐχρ-ῶντο|[*ἐχρή-ο<span class="désinence">-ντο</span>]


ἦ (2a)|j'étais|indicatif imperfectif passé (imparfait)|voix active|ἦ (ἦ<span class="désinence">ν</span>)||ἦσθα||ἦν||ἦ<span class="désinence">-μεν</span>||ἦ<span class="désinence">-τε</span>||ἦ<span class="désinence">-σαν</span>|

ἔφην (2)|je disais, j'affirmais|indicatif imperfectif passé (imparfait)||ἔφη<span class="désinence">-ν</span>||ἔφη<span class="désinence">-ς</span> (ἔφησθα)||ἔφη||ἔφᾰ<span class="désinence">-μεν</span>||ἔφᾰ<span class="désinence">-τε</span>||ἔφᾰ<span class="désinence">-σαν</span>|


χέω (1a)|je verse|indicatif imperfectif présent|voix active|χέ-ω||χ-εῖς|[*χέ<span class="désinence">-εις</span>]|χ-εῖ|[*χέ<span class="désinence">-ει</span>]|χέ-ομεν||χ-εῖτε|[*χέ-ε<span class="désinence">-τε</span>]|χέ-ουσι(ν)|
