tags: ἕρμαιον ἕρμαιον-3 vocabulaire

τὸ δῶρον, ου|le cadeau|<li class="propre"><span style="font-weight: bold">don, présent</li><li>particul. <span style="font-weight: bold">offrande aux dieux, tribut</span>&nbsp;; au plur. <span style="font-weight: bold">présents pour corrompre</span></li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*deh₃-ro-</span>, <span style="font-weight: bold">don</span>&nbsp;; cf. δίδωμι, <span class="fr">donner</span>&nbsp;; lat. <span class="lat">dōnum</span>.</li>
ὁ φόνος, ου|le meurtre|<li class="propre">en parl.&thinsp;d'une seule pers. <span style="font-weight: bold">meurtre, assassinat</span></li><li>en parl.&thinsp;de plus. pers. <span style="font-weight: bold">massacre, carnage</span></li><li>p.&thinsp;anal. <span style="font-weight: bold">peine de mort</span></li><li><span style="font-weight: bold">sang</span> répandu par un meurtre&nbsp;; particul. sang d'une victime</li><li>p.&thinsp;ext. <span style="font-weight: bold">victime d'un meurtre</span>, cadavre d'un homme tué</li><li>p.&thinsp;méton. <span style="font-weight: bold">instrument de meurtre</span>, cause d'un meurtre</li><li class="étym">Étym. indo-europ. <span class="indo-europ">*gʷʰónos</span>&nbsp;; déverbal de θείνω, <span class="fr">heurter, frapper</span>.</li>

τὸ πρόσωπον, ου|le visage|<li class="propre"><span style="font-weight: bold">face, figure</span>, en parl.&thinsp;de l'homme, rar.&thinsp;en parl.&thinsp;d'animaux (d'ord. προτομή)</li><li>figure artificielle, particul.&nbsp;: <span style="font-weight: bold">masque de théâtre</span>&nbsp;; p.&thinsp;suite, <span style="font-weight: bold">rôle, personnage de théâtre</span></li><li class="étym">Étym. π. ὤψ, <span class="fr">œil</span> &gt; πρόσ·ωπον</li>

τὸ ὄργανον, ου <span class="quantité">[ᾰ]</span>|l'outil|<li class="propre"><span style="font-weight: bold">instrument</span></li><li>particul.&nbsp;: instrument de travail, machine de guerre, instrument de musique</li><li><span style="font-weight: bold">organe du corps</span></li><li><span style="font-weight: bold">matière</span> sur laquelle on travaille</li><li>au plur. <span style="font-weight: bold">formes du langage, particularités du style</span></li><li><span style="font-weight: bold">ouvrage, œuvre</span></li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*uerǵ-</span>, <span style="font-weight: bold">travail</span>&nbsp;; déverbal de ἔργω, <span class="fr">travailler</span>.</li>

τὸ ὅπλον, ου|l'arme|<li class="propre"><span style="font-weight: bold">instrument</span>, outillage, appareil</li><li>t.&thinsp;milit. <span style="font-weight: bold">arme</span> (offensive et défensive)</li><li>particul. dans Hérodote et chez les Att. le grand bouclier (d'où le nom ὁπλίτης désignant les soldats de grosse infanterie) ou en gén. les armes pesantes (bouclier, cuirasse, lance)</li><li>t.&thinsp;de mar. <span style="font-weight: bold">équipement d'un navire</span>&nbsp;; particul. <span style="font-weight: bold">gréement, cordages, câble, amarre</span></li><li class="étym">Étym. déverbal de ἕπω, <span class="fr">s'attacher à, s'occuper de, soigner</span></li>

τὸ πλοῖον, ου|le navire|<li class="propre"><span style="font-weight: bold">navire</span></li><li>navire marchand, de transport&nbsp;; p.&thinsp;opp. à ναῦς, <span class="fr">navire de guerre, vaisseau</span></li><li class="étym">Étym. déverbal de πλέω, <span class="fr">naviguer, voguer</span>&nbsp;; cf. πλόος, <span class="fr">navigation</span></li>

τὸ δεῖπνον, ου|le dîner|<li class="propre">dans Hom. <span style="font-weight: bold">repas</span> en gén.</li><li><span style="font-weight: bold">dîner</span>, distingué de l'ἄριστον, <span class="fr">déjeuner</span> et du δόρπον, <span class="fr">souper</span></li><li>dans les écriv.&thinsp;eccl. τὸ ἅγιον δ., <span class="fr">la Cène</span>&nbsp;; ou abs. τὸ δ., <span class="fr">l'Eucharistie</span></li><li class="étym">Étym. de δάπτω, <span class="fr">diviser, déchirer</span>&nbsp;; cf. lat. <span class="lat">daps</span> (banquet)&nbsp;; pour le sens, comparer avec morceau.</span></li>

τὸ πτερόν, οῦ|l'aile|<li class="propre"><span style="font-weight: bold">plume d'aile</span></li><li>p.&thinsp;suite (d'ord. au plur. τὰ πτερά) <span style="font-weight: bold">aile</span> d'oiseau, d'insecte</li><li>p.&thinsp;anal. en parl.&thinsp;de navires, <span style="font-weight: bold">rangée de rames</span></li><li class="étym">Étym. déverbal de πέτομαι, <span class="fr">voler</span></li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*pet-</span>, <span style="font-weight: bold">voler, tomber</span>&nbsp;; cf. πέτομαι, <span class="fr">voler</span>&nbsp;; πίπτω, <span class="fr">tomber, chuter</span>&nbsp;; cf. lat. <span class="lat">peto</span> (atteindre, tomber sur).</li>

ὁ μῦθος, ου|la fable|<li class="propre"><span style="font-weight: bold">parole exprimée</span>, d'où&nbsp;: <span style="font-weight: bold">parole, discours</span>, en gén.</li><li>après Hom. <span style="font-weight: bold">fable</span>, particul.&nbsp;: <span style="font-weight: bold">légende</span> (p.&thinsp;opp. à λόγος, récit confirmé par des témoignages), récit non historique, <span style="font-weight: bold">mythe</span></li><li>p.&thinsp;suite, <span style="font-weight: bold">récit fabuleux, conte, apologue</span></li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*mēwdʰ-</span>, <span style="font-weight: bold">penser, croire</span.</li>

γέλοιος, α, ον|ridicule|<li class="propre"><span style="font-weight: bold">qui fait rire</span></li><li>d'où&nbsp;: <span style="font-weight: bold">risible, plaisant</span>, p.&thinsp;opp. à σπουδαῖος, <span class="fr">sérieux, grave</span></li><li><span style="font-weight: bold">ridicule</span></li><li class="étym">Étym. √√ indo-europ. <span class="indo-europ">*ĝel-</span> / <span class="indo-europ">ĝlē-</span>, <span style="font-weight: bold">briller, être joyeux</span>&nbsp;; cf. γέλως, <span class="fr">le rire</span>&nbsp;; γελάω, <span class="fr">rire</span>.</li>

ἐρυθρός, ά, όν|rouge|<li class="propre"><span style="font-weight: bold">rouge</span> (nectar, vin, sang, etc.)</li><li>ἡ Ἐρυθρὰ θάλασσα, Ἐρυθρὴ θάλασσα, Ἐρυθρὸς πόντος, <span class="fr">la mer Rouge</span>, c.&thinsp;à&thinsp;d.&nbsp;: l'Océan indien (non seulement la mer Rouge, mais en outre la partie de l'Océan de l'Afrique à l'Inde)</li><li class="étym">Étym. indo-europ. <span class="indo-europ">*h₁rudʰrós</span>, <span style="font-weight: bold">rouge</span>&nbsp;; cf. ἐρεύθω, <span class="fr">rougir, rendre rouge</span>&nbsp;; cf. lat. <span class="lat">rŭber, rūfus</span>, sscr. रुधिर rudhirá, ang. <span class="fr">red</span>.</li>

λευκός, ή, όν|blanc|<li class="propre"><span style="font-weight: bold">brillant, éclatant</span></li><li><span style="font-weight: bold">clair, pur, limpide, serein</span></li><li>p.&thinsp;suite, <span style="font-weight: bold">blanc</span>, p.&thinsp;opp. à μέλας, <span class="fr">noir, sombre</span></li><li>symb. comme signe de jeunesse, de beauté&nbsp;: σὰρξ λ., <span class="fr">chair blanche</span>&nbsp;; λ. δέρη, <span class="fr">cou blanc</span>&nbsp;; λ. παρειά, <span class="fr">joue blanche</span></li><li>symb. comme signe de nudité, de simplicité&nbsp;: λευκὸς πούς, <span class="fr">pied nu</span></li><li>symb. comme signe de bonheur&nbsp;: λευκὴ ἡμέρα, <span class="fr">jour de bonheur</span></li><li>subst. τὸ λευκόν, <span class="fr">couleur blanche</span></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*leuk-</span>, <span style="font-weight: bold">blanc, brillant</span>&nbsp;; cf. λεύσσω, <span class="fr">voir, regarder, contempler</span> / λύχνος, <span class="fr">lampe</span>&nbsp;; cf. lat. <span class="lat">lūx, lūmen</span> (lumière)</span>.</li>

τὸ ἱμάτιον, ου|le vêtement|<li class="propre"><span style="font-weight: bold">pièce de vêtement</span>, particul. <span style="font-weight: bold">pardessus, manteau</span></li><li>crase sg. τὸ ἱμ. &rarr; θοἰμάτιον / pl. τὰ ἱμ. &rarr; θαἰμάτια</li><li class="étym">Étym. dim. de εἷμα, <span class="fr">vêtement</span></li>

ἐσθίω|je mange|<li class="propre"><span style="font-weight: bold">manger</span>, en parl.&thinsp;de pers.</li><li>rar. en parl.&thinsp;d'animaux&nbsp;: paître, se repaître</li><li>fig. <span style="font-weight: bold">dévorer, consumer</span>, en parl.&thinsp;de la ruine d'une maison, du feu, d'un mal, de soucis</li><li class="étym">Étym. cf. ἔδω, <span class="fr">manger</span></li>

ψεύδω|je trompe|<li class="propre"><span style="font-weight: bold">tromper</span></li><li class="étym">Étym. cf. ψεῦδος, <span class="fr">mensonge, fausseté, tromperie</span>&nbsp;; ψύθος, <span class="fr">mensonge</span></li>

πταίρω|j'éternue|<li class="propre"><span style="font-weight: bold">éternuer</span></li>

βαδίζω|je marche|<li class="propre"><span style="font-weight: bold">marcher, aller pas à pas, aller au pas</span></li><li><span style="font-weight: bold">aller par voie de terre</span>, p.&thinsp;opp. à πλέω, <span class="fr">naviguer</span></li><li class="étym">Étym. dénominal de βάδος, <span class="fr">la marche</span></li>

μεστός, ή, όν <span class="cas">+gen</span>|plein de|<li class="propre"><span style="font-weight: bold">plein, rempli</span></li><li><span class="régime">avec le gén.</span> νεφέλας ὕδατος μεστάς, <span class="fr">nuages pleins d'eau</span></li><li>fig. μ. ἐλπίδων ἀγαθῶν, <span class="fr">plein de bonnes espérances</span>&nbsp;; σπουδῆς μ., <span class="fr">plein d'ardeur</span></li><li class="étym">Étym. p.-ê. √ indo-europ. <span class="indo-europ">*med-</span>, <span style="font-weight: bold">enfler, qui a sa mesure, être plein</span>.</li>

τὸ ῥόδον, ου|la rose|<li class="propre"><span style="font-weight: bold">rose</span></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*wr̥dʰo</span>, <span style="font-weight: bold">rose</span>&nbsp;; cf. lat. <span class="lat">rosa</span>.</li>

τὸ ἴον, ου|la violette|<li class="propre"><span style="font-weight: bold">violette</span></li><li class="étym">Étym. p. *ϝίον&nbsp;; un lien sémantique avec ἴς, <span class="fr">force, vigueur</span>, au lat. <span class="lat">vis</span> (force), <span class="fr">violo</span> (faire preuve de force, violenter) est possible, avec une dérivation sémantique depuis «&nbsp;fort&nbsp;» vers «&nbsp;plante qui sent fort, très odorante, violette&nbsp;» et «&nbsp;couleur forte, soutenue, sombre&nbsp;» qui est dans la plupart des dérivés&nbsp;; chez Homère, ἰοειδής qualifie la mer d'un bleu sombre, soutenu&nbsp;; cf. ἰοειδής, <span class="fr">tirant sur le violet, aux reflets violets, sombre</span>&nbsp;; lat. viola</li>

τὸ σέλινον, ου <span class="quantité">[ῑ]</span>|le persil, l'ache|<li class="propre"><span style="font-weight: bold">persil, ache</span></li><li>on en faisait des couronnes aux vainqueurs des jeux isthmiques et néméens</li><li>on s'en servait également pour ranimer les mourants, d'où le prov.&nbsp;: σελίνου δεῖται, <span class="fr">il a besoin de persil</span>, c.&thinsp;à&thinsp;d. il va mourir</li><li>on le cultivait à l'entrée des jardins ou au bord des plants, d'où le prov.&nbsp;: οὐδ' ἐν σελίνῳ, <span class="fr">pas même encore au persil</span>, c.&thinsp;à&thinsp;d. à l'entrée (du jardin) ou au commencement de la besogne</li>

τὸ τέκνον, ου|l'enfant|<li class="propre"><span style="font-weight: bold">enfant</span> (fils ou fille)</li><li>p.&thinsp;anal. enfant, comme <span style="font-weight: bold">terme d'affection</span> en parl.&thinsp;à une pers. plus jeune</li><li>petit d'un animal</li><li>produit, <span style="font-weight: bold">rejeton</span>&nbsp;: γαίας τέκνα, <span class="fr">filles de la terre</span>, en parl.&thinsp;des fleurs&nbsp;; αἰθέρος τέκνα, <span class="fr">enfants des airs</span>, en parl.&thinsp;des oiseaux</li><li class="étym">Étym. déverbal de τίκτω, <span class="fr">enfanter, engendrer</span></li>

τὸ κώνειον, ου|la ciguë|<li class="propre"><span style="font-weight: bold">ciguë</span></li><li class="étym">Étym. déverbal de κωνάω<span class="contraction">-ῶ</span>, <span class="fr">faire tourner</span>, parce qu'elle fait tourner la tête, donne le vertige&nbsp;; cf. κῶνος, <span class="fr">cône</span>, pour le radical du mot</li>

τρώγω|je ronge|<li class="propre"><span style="font-weight: bold">manger</span></li><li>en parl.&thinsp;des animaux, <span style="font-weight: bold">ronger, grignoter, brouter</span>&nbsp;; se dit princip. des herbivores</li><li>en parl.&thinsp;de pers. <span style="font-weight: bold">manger des aliments crus</span> (des légumes ou des fruits), <span style="font-weight: bold">croquer</span> des fruits secs (des noix, des amandes)&nbsp;; manger de la nourriture peu consistante que l'on grignote</li>

σείω|je secoue|<li class="propre">tr. <span style="font-weight: bold">secouer, agiter</span></li><li>particul.&nbsp;:<ul style="font-size:100%"><li>agiter, en parl. d'un objet qu'on tient&nbsp;: des rênes, une branche, l'égide, une javeline, un bouclier, …</li><li>secouer un joug, en parl. de chevaux qui courent&nbsp;; une chevelure, une crinière ; d'où <span class="régime">au pass.</span> <span style="font-weight: bold">être agité, flotter</span>, en parl. de cheveux&nbsp;; <span style="font-weight: bold">agiter convulsivement</span></li><li><span style="font-weight: bold">ébranler</span>, en parl. d'un tremblement de terre&nbsp;: σείει ὁ θεός (s.&thinsp;e. τὴν γῆν), <span class="fr">la divinité ébranle la terre</span>, d'où impers.&nbsp;: ἔσεισε, <span class="fr">il y eut un tremblement de terre</span>&nbsp;; <span class="régime">au pass.</span> <span style="font-weight: bold">être ébranlé, vaciller, trembler</span></li><li><span style="font-weight: bold">secouer dans un crible, tamiser</span></li></ul></li><li>fig. <span style="font-weight: bold">ébranler, troubler, agiter</span> (une ville, une maison, etc.) <span class="régime">acc.</span>&nbsp;: τὴν κεφαλήν, <span class="fr">ébranler la tête</span>&nbsp;; τὸν ἐγκέφαλον σεσεῖσθαι, <span class="fr">avoir le cerveau ébranlé, la raison troublée</span>&nbsp;; de même, en parl. des sentiments qui agitent l'âme&nbsp;; en mauv. part&nbsp;: σείειν καὶ συκοφαντεῖν, <span class="fr">ébranler et menacer de dénonciation ceux qui ont des comptes à rendre</span>, c.&thinsp;à&thinsp;d. chercher à leur faire acheter à prix d'argent le silence des orateurs&nbsp;; en gén. <span style="font-weight: bold">harceler, presser, tourmenter</span>, <span class="régime">acc.</span></li><li>intr. <span style="font-weight: bold">s'agiter, se remuer</span>&nbsp;: τῇ οὐρᾷ, <span class="fr">remuer la queue</span>&nbsp;; p.&thinsp;suite, <span style="font-weight: bold">flatter</span></li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*tu̯ei-</span>, <span style="font-weight: bold">secouer</span>&nbsp;; cf. sscr. त्वेषति, tveṣati (peur, tremblement de peur).</li>

ὁ ἄνεμος, ου|le vent|<li class="propre"><span style="font-weight: bold">vent</span></li><li>courant de vent<ul style="font-size:100%"><li>au propre&nbsp: πνοιαὶ ἀνέμοιο, πνοιαὶ ἀνέμων, πνοαὶ ἀνέμων, ἀνέμων ἀήματα, ἀνέμων πνεύματα, ἀνέμων αὖραι, <span class="fr">les souffles du vent, des vents</span>&nbsp;; ἀνέμοιο θυέλλη, ἀνέμων ἄελλαι ou ἀέλλη, <span class="fr">tempête de vent</span>&nbsp;; ἲς ἀνέμοιο, βία ἀνέμων, <span class="fr">la force du vent, des vents</span>&nbsp;; κατὰ ἄνεμον καὶ ῥοῦν, <span class="fr">selon le vent et le courant</span></li><li>fig.&nbsp;:<ul style="font-size:100%"><li><span style="font-weight: bold">agitation de l'âme, passion tumultueuse</span></li><li><span style="font-weight: bold">mobilité, inconstance</span></li></ul></li></ul></li><li>vent dans le corps, <span style="font-weight: bold">flatuosité</span></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*h₂enh₁mos</span>, <span style="font-weight: bold">vent</span>&nbsp;; cf. lat. <span class="lat">animus</span>, sscr. अनिल ánila.</li>

τὸ δένδρον, ου|l'arbre|<li class="propre"><span style="font-weight: bold">arbre</span></li><li>arbre à fruits (cultivé ou sauvage), p.&thinsp;opp. à ὕλη, <span class="fr">bois, forêt</span></li><li>joint au n.&thinsp;de fruit&nbsp;: δένδρον ἐλάας, <span class="fr">olivier</span> (arbre à olives)</li><li class="étym">Étym. p.-ê. apparenté avec δρῦς, <span class="fr">chêne</span></li>

τὸ φυτόν, οῦ|la plante|<li class="propre"><span style="font-weight: bold">tout ce qui pousse</span> ou <span style="font-weight: bold">se développe</span></li><li><span style="font-weight: bold">végétal</span> (arbre, plante, etc.)&nbsp;; p.&thinsp;opp. à ζῷον, <span class="fr">animal</span></li><li>tumeur, ulcère</li><li class="étym">Étym. neut.&thinsp;subst. de φυτός, participe de φύω, <span class="fr">pousser, faire croître</span></li>

τὸ φύλλον, ου|la feuille|<li class="propre"><span style="font-weight: bold">feuille</span></li><li>au plur. <span style="font-weight: bold">feuillage</span></li><li>p.&thinsp;méton. <span style="font-weight: bold">plantes</span> (potagères, médicinales)</li><li class="étym">Étym. √√ indo-europ. <span class="indo-europ">*bhel-</span> / <span class="indo-europ">*bhlh₃-</span>, <span style="font-weight: bold">feuille</span>&nbsp;; cf. lat. <span class="lat">folium</span>.</li>

ἆρα <span class="quantité">[ᾰᾰ]</span>|assurément|<li class="propre">particule interrogative pour marquer l'impatience, la crainte&nbsp;: est-ce donc que&nbsp;? est-ce donc&nbsp;?</li><li>équivalent de ἄρα, <span class="fr">donc</span> après un mot interrog.&nbsp;: τίς ἆρα; <span class="fr">qui donc&nbsp;?</span> / τί δ' ἆρα; <span class="fr">quoi donc&nbsp;?</span> ou après ἤν, <span class="fr">si donc</span></li><li>abs. <span style="font-weight: bold">certes</span></li><li class="étym">Étym. contract. de ἦ ἄρα</li>

ὁ θυμός, οῦ|le cœur|<li class="propre">litt. <span style="font-weight: bold">souffle</span></li><li><span style="font-weight: bold">âme</span> (principe de vie)</span>, <span style="font-weight: bold">vie</span>&nbsp;: ὀλίγος δ' ἔτι θυμὸς ἐνῆν, <span class="fr">je n'avais plus qu'un reste de vie</span>&nbsp;; en parl.&thinsp;des animaux</li><li><span style="font-weight: bold">âme</span> (principe de la volonté, de l'intelligence, des sentiments et des passions) d'où<ul style="font-size:100%"><li><span style="font-weight: bold">volonté, désir</span>&nbsp;: θυμὸς ὀτρύνει, ἀνώγει, κελεύει, <span class="régime">avec l'inf.</span> <span class="fr">(mon) cœur (me) pousse à</span>&nbsp;; θυμός ἐστί μοι, ou γίγνεταί μοι, <span class="régime">avec l'inf.</span> <span class="fr">j'ai le désir de, le désir naît dans mon cœur de</span>&nbsp;; ἤθελε θυμῷ, <span class="fr">il désirait dans son cœur</span>&nbsp;; οἱ θυμὸς ἐϐούλετο, <span class="fr">son cœur voulait</span>&nbsp;; θυμὸς ἐφορμᾶται πολεμίζειν, <span class="fr">mon cœur est impatient de combattre</span>&nbsp;; ὥς σοι θυμός, <span class="fr">comme il te plaira</span>&nbsp;; Μακεδόσι πρὸς θυμοῦ εἰπεῖν, <span class="fr">parler aux Macédoniens dans le sens de leur désir</span>&nbsp;; particul. <span style="font-weight: bold">désir de boire et de manger</span>&nbsp;: πλησάμενος θυμὸν ἐδητύος ἠδὲ ποτῆτος, <span class="fr">s'étant rassasié, selon son appétit, de nourriture et de boisson</span></li></ul></li><li><span style="font-weight: bold">cœur</span> (considéré comme le siège de l'intelligence): ᾔδεε γὰρ κατὰ θυμόν, <span class="fr">il savait dans son cœur</span>&nbsp;; λόγους θυμῷ βαλεῖν, <span class="fr">déposer des paroles dans son cœur</span></li><li><span style="font-weight: bold">cœur</span> (considéré comme le siège des sentiments et des passions)&nbsp;: ἕνα θυμὸν ἔχειν, <span class="fr">être animé du même sentiment</span>&nbsp;; θυμὸν ὀρίνειν, <span class="fr">exciter l'âme</span>, c.&thinsp;à&thinsp;d. provoquer la pitié, la crainte&nbsp;; νεμεσίζεσθαι ἐνὶ θυμῷ, <span class="fr">s'irriter dans son cœur</span>&nbsp;; particul. en parl.<ul style="font-size:100%"><li>de la joie&nbsp;: χαίρειν θυμῷ ou ἐν θυμῷ, <span class="fr">se réjouir dans son cœur</span></li><li>de la douleur&nbsp;: ἄχνυτο θυμός, <span class="fr">leur cœur s'affligeait</span>&nbsp;; ἄλγος ou ἄχος ἱκάνει θυμόν, <span class="fr">la douleur s'empare de mon cœur</span></li><li>de l'amitié&nbsp;: ἐκ θυμοῦ ou θυμῷ φιλέειν, <span class="fr">aimer de cœur, de tout son cœur</span></li><li>de la crainte&nbsp;: δέος ἔμπεσε θυμῷ, <span class="fr">la crainte envahit son cœur</span></li><li>du courage, de la confiance&nbsp;: θυμὸν λαμϐάνειν, <span class="fr">prendre courage</span>&nbsp;; θυμὸν ἔχειν ἀγαθόν, <span class="fr">avoir bon courage</span> (lat. <span class="lat">bono animo esse</span>)</li><li>de la colère&nbsp;: θ. μέγας, <span class="fr">grande colère</span>&nbsp;; θ. ὀξύς, <span class="fr">colère violente</span> (litt. aiguë)&nbsp;; joint à ὀργή ; ἐπανάγειν τὸν θυμόν, <span class="fr">exciter la colère</span>&nbsp;; θυμὸν καταθέσθαι, <span class="fr">déposer sa colère</span>&nbsp;; θυμὸν ἐκχεῖν, <span class="fr">épancher sa colère</span></li></ul></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*dhuH-mo-</span>, <span style="font-weight: bold">fumée</span>&nbsp;; cf. θυμιάω, <span class="fr">enfumer</span> / θύω, <span class="fr">offrir un sacrifice (en brûlant des offrandes)</span>&nbsp;; lat. <span class="lat">fūmus</span>, sscr. धूमा dhūmá-.</li>
